id	filename	md5	size	state
67bdcff7-5af1-4f24-8eac-f47c133c9398	5a674268-79a8-4a30-a6db-a4fd0b83e208.rna_seq.augmented_star_gene_counts.tsv	b78ad6f404fe080d8cb0db3fd78b9a4b	4233535	released
04e2cdb4-4e22-4d01-b451-18002e2df72c	9f621704-2ece-4b25-be28-5fe14f71048d.rna_seq.augmented_star_gene_counts.tsv	ffb1b9751815860a927108c52b41590f	4248737	released
5c5b0972-267f-481b-88d6-7800e7cd52f2	6bf9821d-da67-470f-9650-69d05b056166.rna_seq.augmented_star_gene_counts.tsv	bffa72e9d2257c7376b959aa20c0f5d9	4245955	released
1c6cb4d2-e5af-42ce-a2cc-9b2610cccd6e	5572a203-73b9-4a85-b47d-af228abca5b1.rna_seq.augmented_star_gene_counts.tsv	7d638529b25272d13e3c961a29f7ef9f	4240549	released
f49a4212-5c4a-4c46-aba5-2d586e100070	364e9fa9-3e1f-47cc-959a-1a2b3061c5d4.rna_seq.augmented_star_gene_counts.tsv	3adcda9ee70931f8b843453e965e04ac	4230254	released
f1c96d98-c614-4a8e-8035-bb3bd0f665f6	be9a8b34-4ecb-4542-8d30-4d5019fd1903.rna_seq.augmented_star_gene_counts.tsv	fe5bc93f54a2de79cbafa12cab92431c	4252719	released
397d35c9-da0a-4967-a30d-cc02fb35b127	718c4754-af81-496f-878d-83222a2581b8.rna_seq.augmented_star_gene_counts.tsv	56a800a93a7b11fddb079850b83e0ac9	4244425	released
aeada084-449f-4752-8794-61b0e89d213d	b2b4cc41-5760-4463-bcde-16115ceb12c2.rna_seq.augmented_star_gene_counts.tsv	4d05a9178002515917b35a4a45a17c2f	4236375	released
939ca952-64a3-4b9a-9237-1e7a6251c36b	fa9f3cc6-06eb-4cfd-8f85-9d13df39d11e.rna_seq.augmented_star_gene_counts.tsv	4b99e6d5637c4b1d88f70fbbe56e08b4	4218157	released
ed72b0fe-a8b5-4ef1-878b-a67f1bfa8aa4	f8877925-49e4-420e-8bd8-cac3a47b67d1.rna_seq.augmented_star_gene_counts.tsv	81bb1cc43a28448132edc0878658e4b2	4229255	released
1b354090-3362-4233-bb8a-c50bca73497c	967bf1b6-e9da-42b7-8d3c-e6a56394b568.rna_seq.augmented_star_gene_counts.tsv	992f70185031a73f0aed561df1ea3b64	4233277	released
cfce8a54-88f6-4bc1-8d1d-840d548568bb	dd629237-9358-4b4d-bbf2-346e3d5c34be.rna_seq.augmented_star_gene_counts.tsv	9022bb982dabfb61a571088f38543afd	4224768	released
26df792e-6170-4252-b133-1036a584261f	362a2015-1791-4934-be81-df39540b38ff.rna_seq.augmented_star_gene_counts.tsv	3893e130fd49229775f4b19d43bbd581	4233892	released
c71c63ea-239f-42a3-980e-879289f171d1	1c3eaf9a-ffda-4c6d-bffb-2610a37ab837.rna_seq.augmented_star_gene_counts.tsv	8a107520c82d9e50935d8458d605c8dd	4236471	released
e4992d90-d425-4c03-ab00-5e9bfe232b8f	5566453e-df41-4aab-8dd0-825efbece954.rna_seq.augmented_star_gene_counts.tsv	03ecef835450121810f94cadcd0372db	4233699	released
4f2d30e4-0c50-49ae-b791-926e28a1f5f0	6d2b5716-f1e0-41af-bdc2-0efce35a3f26.rna_seq.augmented_star_gene_counts.tsv	ea18a00c78fae06ac185518842da825a	4246793	released
e326e361-8c3b-443f-a0dd-ffab24a47451	b428d434-2904-4f67-a66f-b7928e2951e3.rna_seq.augmented_star_gene_counts.tsv	595a9661e08712651eada659560c9434	4235346	released
69e26c15-85d1-42c6-a278-5bc8746a34ef	04e3aeba-c9bd-483d-9484-5ecc0e64a054.rna_seq.augmented_star_gene_counts.tsv	2aa38894515a94754f3371f08634ae26	4230797	released
245f93b1-4289-4485-ace9-6aea143be0c9	c2ccc6b3-34d8-47c5-9367-cc53aad1622e.rna_seq.augmented_star_gene_counts.tsv	7eb5d55a7609be43268323206c485a70	4249072	released
d43f1743-577e-4661-8b4b-30fecf950652	2d12ea90-c4f4-4aca-b353-360057b446e2.rna_seq.augmented_star_gene_counts.tsv	50580918b60464d54dfc30d299d2dbc5	4237738	released
80f012fc-3440-45f3-bf1e-9656e21d96c5	223494f1-6c0b-446e-998d-53b3b4d0da1a.rna_seq.augmented_star_gene_counts.tsv	9f4854eb22c648bc0c9b1361253790c1	4231592	released
567477da-1a56-45e2-b05d-245aa90bd48e	b02373ab-6860-4066-aebe-2c8a4cdffeda.rna_seq.augmented_star_gene_counts.tsv	2fb501f9ddb58d452f4b8236a0036a56	4225915	released
226f2102-0ca6-4d88-803e-dfd4ed9af516	b03d2223-38c1-4bb3-be8b-27db05f87b66.rna_seq.augmented_star_gene_counts.tsv	3ef255fb4104c045676887d6c02ab1ce	4239229	released
82b0a570-0bc1-42b8-bc5e-15340268fc0f	66290e22-72a1-4af2-93a6-e4859f91a7ef.rna_seq.augmented_star_gene_counts.tsv	d899fbc235de1a042a317675888ce87b	4230136	released
b6eda0bb-5d08-45b4-9fbb-2fdd07db8169	9cde93c5-569a-482a-901b-2bbc21aadfa2.rna_seq.augmented_star_gene_counts.tsv	1a73e7389a3268001aeb69a769a74e27	4233193	released
264c2801-550b-4087-bd92-8157753a226b	b8f68a8a-46f3-4c79-8474-13815946d4f9.rna_seq.augmented_star_gene_counts.tsv	67be23a30da6cc1acf4bf2612f2bfd37	4242467	released
77e14e11-91e8-4201-b837-a2fe46623b00	d2c9b21d-0f64-4182-9d5d-82b80a158a1f.rna_seq.augmented_star_gene_counts.tsv	d0e627a6423310a7b541d6bc433ee884	4205980	released
569b8c86-9e1c-4c15-b78a-a91c39cdce45	beb52b13-584a-4227-abe8-9861c3388c14.rna_seq.augmented_star_gene_counts.tsv	0c3aaf8fe006709a7ecbb4d9cc288fcf	4232479	released
5a9aae7b-4e56-4109-a744-ee851856372f	7d3b4d06-1249-4a85-a66a-387d4e2e2cb2.rna_seq.augmented_star_gene_counts.tsv	73bcdc117dc6fe25481c713cbb99f84c	4236987	released
c1bcb350-5ad0-4cee-bf2c-a85cb2b014b2	d34723c1-230c-45c3-9621-b2ef5919f244.rna_seq.augmented_star_gene_counts.tsv	62b02e90a9eaf7ab012f5e3f3027949b	4231838	released
ae6459b2-07ab-4811-a0f1-a693a6a79953	fc68896b-f13f-4478-8573-3e18c64c3a2b.rna_seq.augmented_star_gene_counts.tsv	bdf81c4fd8c1dce6289e2070bfb40a10	4231090	released
46b8b1b4-8793-4438-8d5e-9295368f0f7e	ee0e68bf-7fa0-4edc-a9df-30a63c2db34a.rna_seq.augmented_star_gene_counts.tsv	2b6f2f76e4f823b1295eb39347087683	4236265	released
69df044b-cac2-46e9-b28a-e3264c48b468	59c50e1e-fc77-441e-93c2-f69c013f362c.rna_seq.augmented_star_gene_counts.tsv	52b0577cc54c63bba72c68e2ba4ea4b4	4246610	released
6e7ab4c9-511c-419d-954b-86057808646e	b4f1e5a5-061a-498b-aadc-bd568f0e4f87.rna_seq.augmented_star_gene_counts.tsv	7a41c3d906a6595fc854f9e44f8d8591	4232910	released
468624ba-36df-475c-ad9c-9be37ef010f3	034df4c4-52bd-4025-aee4-ad630d0d00af.rna_seq.augmented_star_gene_counts.tsv	84571230803fb99ea1365f294a51da4e	4243092	released
0d4fceab-190d-4e98-93b5-6c86c6988e2e	e7c14078-b85e-40b8-9f56-9474543905eb.rna_seq.augmented_star_gene_counts.tsv	e7ee3cdfc489375192969c7fff29b0c2	4210066	released
f0a81e8e-5ada-46dd-b4a3-de6f9cb9f04a	0edf46a2-3dfb-4bae-b642-281e05975bd1.rna_seq.augmented_star_gene_counts.tsv	b06e0f13abeab28c4dfb46c3ee07362d	4245654	released
8fe8d73d-2aef-4bfe-adf1-f0a0d0fa2692	065d8d7a-c241-4a24-8f77-2cb5a4341f35.rna_seq.augmented_star_gene_counts.tsv	92568c6038ac7c578ea4fa94308213b7	4243640	released
a3b94365-2a03-4dff-a776-c97c74273d54	52ed30fb-f32a-4b5b-9ab6-e67438e9da8f.rna_seq.augmented_star_gene_counts.tsv	70730227d1eb04ee647ef6538a4958b8	4239738	released
fea970e9-b09c-439c-9b4c-da5f5331643a	264656b8-d45c-4f5c-a431-366c566296fe.rna_seq.augmented_star_gene_counts.tsv	7de63317f7133be856016284d0492064	4233792	released
cdcbb78a-d1e1-4422-b38b-ef7b6f044f53	f5e6497a-ed39-408d-9034-a965baaafbf7.rna_seq.augmented_star_gene_counts.tsv	7189d7ad25b1a20b64cc59f28bb4f94f	4232396	released
c8d806cf-3298-4072-b800-19e9faa14f5c	c756a64a-a436-4d25-a9cf-a023b1d8a7a3.rna_seq.augmented_star_gene_counts.tsv	402773c2e71f0738fde449b5600e4504	4205220	released
a550e9b4-f276-4bb2-903c-8055fc96fa43	924ccfdb-f369-4b69-a034-bfbaf0878842.rna_seq.augmented_star_gene_counts.tsv	5549c9584033857cdb5360e5950865e9	4240570	released
a3bf68fc-460f-49a2-a94e-4063537ab563	4ea93d27-97e3-40bd-8734-d026e48fbbe4.rna_seq.augmented_star_gene_counts.tsv	164b9514bf0cc264944c8490bfa69f2b	4229805	released
2ce33010-4c28-423d-99e0-e006d9a2985c	66ba9b68-dcc0-4c51-a8c8-b4016502973d.rna_seq.augmented_star_gene_counts.tsv	e5fa630a59c3304fb2080b92efe1e17b	4244495	released
b6c72061-cab4-4aef-bd33-3b0b4881bed2	16ab68fd-4948-4cd5-b5d8-1b2e8a1fd3cb.rna_seq.augmented_star_gene_counts.tsv	6d984594b80f263f0972147cb42e8833	4212294	released
f6dcffb7-a807-422c-86da-3271de2ebec3	d5610bbc-93c5-4ca5-b687-f955d1b84c92.rna_seq.augmented_star_gene_counts.tsv	c4cc6a65c3ed4e0fa088a39d8c233152	4237396	released
758998a9-f7d9-4e18-87de-d264754211b3	c7d31245-5d71-4a23-8a33-4f83c4718e20.rna_seq.augmented_star_gene_counts.tsv	77d730e8f541e0e3256792e18e7ad55d	4206873	released
21e2be3e-592f-4120-b234-cefa0e34427a	09f758e5-6be1-4f29-ac92-869d92f8fbcf.rna_seq.augmented_star_gene_counts.tsv	8dbd3c8abdf1f983e40388b9b0cec993	4223223	released
96256b46-8d98-4ab3-aa8d-af99480a6ab3	d708a0d7-edda-46a8-b717-1b48c073c828.rna_seq.augmented_star_gene_counts.tsv	b11c0c6a67feba846fa7dd9b2caf54f2	4239830	released
33e60d79-ee3d-4e8f-8a7b-6dcc2f69152d	156a3def-5866-4be4-ad0b-61b957d5b6eb.rna_seq.augmented_star_gene_counts.tsv	3e1ce6701c1ab3ff0600cd1e06da0731	4252764	released
a2ae73d6-cf18-4450-89b1-c3273272896c	bd9c63e1-a1cb-4b2f-a909-839ce2fd8618.rna_seq.augmented_star_gene_counts.tsv	bda10932e60074899ceb0cf8a6f3aa10	4237386	released
d0c42dcd-73f9-47f4-b18c-285ece825e1d	8683d8f5-bba5-40a1-a460-ad6183d2302b.rna_seq.augmented_star_gene_counts.tsv	f3acb5e1b01a2260581390d406f0d750	4214758	released
0bbe1ae0-71cc-4a7f-b7cf-80154249b326	aa5bae83-33a0-4b75-a52d-7ba53267f6d3.rna_seq.augmented_star_gene_counts.tsv	4eadfe483f74843b1f185521709789f6	4241505	released
defe5fb5-4dd8-4fc7-9cce-534bb5190357	a6105a18-de2b-470c-bbb1-8c1188c57e22.rna_seq.augmented_star_gene_counts.tsv	8c761ec5eae1461e02a6db920991372b	4241703	released
abec8314-9a0d-4807-9d53-b5e105ed3f6b	004064de-0e10-491d-b3d8-bc628a8f70a8.rna_seq.augmented_star_gene_counts.tsv	943c2878f20a3860c60c83ffb367e148	4233492	released
698a72de-c0b0-4a97-b2a4-9acf4df06db8	a8736e1b-c036-42fd-b8d1-558724484f68.rna_seq.augmented_star_gene_counts.tsv	cb003a8869e1b6e1e35b889942ce4b51	4226236	released
bdd5f0a7-3284-4ad9-9b42-3b7ee5863679	21e66f0f-e49d-4e75-bc70-f1d248c1b947.rna_seq.augmented_star_gene_counts.tsv	2460c775c862e361a3f1193d54f5cb37	4229349	released
b487aab5-b70d-4f9f-8b19-8efeaa420b3a	e598b2c1-abeb-4421-acf8-79fe3d507ef8.rna_seq.augmented_star_gene_counts.tsv	9afb6c81130086676a0c900d26b4d143	4232351	released
cebcd3ab-a574-4504-8007-2d12d92d5e55	d01f4531-b145-414b-bc1c-0f1a148b771e.rna_seq.augmented_star_gene_counts.tsv	69f12a3aad380546bdb16e992762a321	4241324	released
